,GEO_ID,FSRR2010
1,0500000US04005,51
2,0500000US04003,58.2
3,0500000US04007,43.6
4,0500000US04009,48.8
5,0500000US04011,45.4
6,0500000US04012,32.6
7,0500000US04013,63.8
8,0500000US04015,56
9,0500000US04017,40.4
10,0500000US04019,65.9
11,0500000US04021,53.7
12,0500000US04023,58.1
13,0500000US04025,58.6
14,0500000US04027,50.7
15,0500000US04001,39.8
1,0500000US09003,71.4
2,0500000US09005,67.8
3,0500000US09015,62.6
4,0500000US09009,69
5,0500000US09011,66.4
6,0500000US09013,73.3
7,0500000US09001,69.5
8,0500000US09007,70.5
1,0500000US05001,56.6
2,0500000US05003,61.6
3,0500000US05005,65.5
4,0500000US05007,68
5,0500000US05009,66.2
6,0500000US05011,49.8
7,0500000US05013,47
8,0500000US05015,59.4
9,0500000US05017,54.4
10,0500000US05019,60.6
11,0500000US05021,62.3
12,0500000US05023,56.9
13,0500000US05025,61.2
14,0500000US05027,59
15,0500000US05029,63.1
16,0500000US05031,67.9
17,0500000US05033,65.4
18,0500000US05035,59
19,0500000US05037,61.1
20,0500000US05047,62.8
21,0500000US05041,53.6
22,0500000US05043,53
23,0500000US05045,67.3
24,0500000US05049,55.4
25,0500000US05051,60.9
26,0500000US05053,65
27,0500000US05055,68.4
28,0500000US05057,55.2
29,0500000US05059,53.7
30,0500000US05061,59.7
31,0500000US05063,66.6
32,0500000US05065,52.2
33,0500000US05067,60.3
34,0500000US05069,60
35,0500000US05071,60.3
36,0500000US05073,51.2
37,0500000US05075,62
38,0500000US05077,49.5
39,0500000US05079,50.7
40,0500000US05081,57.4
41,0500000US05083,63.6
42,0500000US05085,66.5
43,0500000US05087,58
44,0500000US05089,58.2
45,0500000US05091,64.3
46,0500000US05093,57
47,0500000US05095,49.6
48,0500000US05097,50.5
49,0500000US05099,52.8
50,0500000US05101,51.8
51,0500000US05103,58
52,0500000US05105,58.4
53,0500000US05107,46.4
54,0500000US05109,56.7
55,0500000US05111,61.5
56,0500000US05113,59.8
57,0500000US05115,66.7
58,0500000US05117,53.2
59,0500000US05039,51.3
60,0500000US05119,65
61,0500000US05121,63.5
62,0500000US05123,52
63,0500000US05125,69.5
64,0500000US05127,59.1
65,0500000US05129,52.7
66,0500000US05131,65.6
67,0500000US05133,60.9
68,0500000US05135,55.5
69,0500000US05137,58.1
70,0500000US05139,62.1
71,0500000US05141,53.5
72,0500000US05143,60
73,0500000US05145,64.5
74,0500000US05147,55.3
75,0500000US05149,57.2
1,0500000US08001,69.3
2,0500000US08003,60.6
3,0500000US08005,71.2
4,0500000US08007,42.7
5,0500000US08009,54.2
6,0500000US08011,55.8
7,0500000US08013,73.4
8,0500000US08014,73.2
9,0500000US08015,61
10,0500000US08017,54.9
11,0500000US08019,54.4
12,0500000US08021,49
13,0500000US08023,36.6
14,0500000US08025,56.9
15,0500000US08027,36.8
16,0500000US08029,64.5
17,0500000US08031,69
18,0500000US08033,38.9
19,0500000US08035,77.3
20,0500000US08037,40.9
21,0500000US08039,75.2
22,0500000US08041,69
23,0500000US08043,63.2
24,0500000US08045,60.1
25,0500000US08047,48.7
26,0500000US08049,31
27,0500000US08051,40.2
28,0500000US08053,19.9
29,0500000US08055,41.6
30,0500000US08057,38.6
31,0500000US08059,77
32,0500000US08061,53.8
33,0500000US08063,63.1
34,0500000US08065,45.7
35,0500000US08067,58.2
36,0500000US08069,70.7
37,0500000US08071,50
38,0500000US08073,59
39,0500000US08075,66.1
40,0500000US08077,70.3
41,0500000US08079,21.1
42,0500000US08081,63.3
43,0500000US08083,62.5
44,0500000US08085,65.9
45,0500000US08093,39.9
46,0500000US08087,66.4
47,0500000US08089,58.4
48,0500000US08091,46.7
49,0500000US08095,70.4
50,0500000US08097,39.8
51,0500000US08099,57.8
52,0500000US08101,65.8
53,0500000US08103,55.6
54,0500000US08105,50
55,0500000US08107,43
56,0500000US08109,40.3
57,0500000US08111,31.5
58,0500000US08113,31.2
59,0500000US08115,61.4
60,0500000US08117,27.8
61,0500000US08119,56.8
62,0500000US08121,60.3
63,0500000US08123,65.5
64,0500000US08125,66.4
1,0500000US10003,70.7
2,0500000US10005,49.6
3,0500000US10001,68.6
1,0500000US01001,68.6
2,0500000US01003,59.4
3,0500000US01005,55.2
4,0500000US01007,54.8
5,0500000US01009,66.3
6,0500000US01011,34
7,0500000US01013,49.3
8,0500000US01015,65.1
9,0500000US01017,59.2
10,0500000US01019,49.9
11,0500000US01021,59.9
12,0500000US01023,52.3
13,0500000US01025,54.7
14,0500000US01027,55.6
15,0500000US01029,57.1
16,0500000US01031,60.7
17,0500000US01033,65.1
18,0500000US01035,47.1
19,0500000US01037,45.8
20,0500000US01039,55.1
21,0500000US01041,53.2
22,0500000US01043,62.4
23,0500000US01045,57.4
24,0500000US01047,56
25,0500000US01049,56.4
26,0500000US01051,65.7
27,0500000US01053,55.4
28,0500000US01055,66.7
29,0500000US01057,62.4
30,0500000US01059,60.5
31,0500000US01061,56.2
32,0500000US01063,40.9
33,0500000US01065,52.4
34,0500000US01067,54
35,0500000US01069,64.5
36,0500000US01071,63.1
37,0500000US01073,64.8
38,0500000US01075,55.7
39,0500000US01077,65.3
40,0500000US01079,64
41,0500000US01081,62.4
42,0500000US01083,67.8
43,0500000US01085,43.4
44,0500000US01087,51.6
45,0500000US01089,69.9
46,0500000US01091,53.8
47,0500000US01093,59.8
48,0500000US01095,64.4
49,0500000US01097,63
50,0500000US01099,46.5
51,0500000US01101,63.5
52,0500000US01103,67.5
53,0500000US01105,40.5
54,0500000US01107,53.2
55,0500000US01109,53.7
56,0500000US01111,54.8
57,0500000US01113,59.4
58,0500000US01115,62.9
59,0500000US01117,70.9
60,0500000US01119,44.3
61,0500000US01121,61
62,0500000US01123,58.9
63,0500000US01125,65
64,0500000US01131,44.4
65,0500000US01133,51.7
66,0500000US01127,59
67,0500000US01129,52.1
1,0500000US13001,56.5
2,0500000US13003,48.5
3,0500000US13005,56.5
4,0500000US13007,42.4
5,0500000US13009,57.1
6,0500000US13011,63
7,0500000US13013,64.2
8,0500000US13015,66.8
9,0500000US13017,57.1
10,0500000US13019,55.9
11,0500000US13031,55.4
12,0500000US13025,49.7
13,0500000US13027,53.5
14,0500000US13029,62.5
15,0500000US13033,58.3
16,0500000US13035,59.6
17,0500000US13037,51.4
18,0500000US13039,60.1
19,0500000US13043,52.9
20,0500000US13045,61.8
21,0500000US13047,71
22,0500000US13049,49.4
23,0500000US13053,44.1
24,0500000US13055,61.1
25,0500000US13057,70.6
26,0500000US13059,63.2
27,0500000US13061,39.1
28,0500000US13065,50.5
29,0500000US13067,66.7
30,0500000US13069,60.3
31,0500000US13071,61.1
32,0500000US13073,72.6
33,0500000US13075,55.3
34,0500000US13079,57.6
35,0500000US13081,55.7
36,0500000US13085,59.5
37,0500000US13087,60.4
38,0500000US13091,49.4
39,0500000US13093,50.5
40,0500000US13095,66.5
41,0500000US13099,50.7
42,0500000US13101,50.3
43,0500000US13105,64.6
44,0500000US13107,52.2
45,0500000US13109,51.5
46,0500000US13113,72.9
47,0500000US13115,63.5
48,0500000US13117,70.9
49,0500000US13121,60.5
50,0500000US13123,46
51,0500000US13021,60.5
52,0500000US13023,57.9
53,0500000US13127,60.1
54,0500000US13129,64.8
55,0500000US13131,61.9
56,0500000US13135,66.3
57,0500000US13137,58.5
58,0500000US13139,67.5
59,0500000US13143,62
60,0500000US13145,66.1
61,0500000US13149,60.4
62,0500000US13151,69
63,0500000US13153,66.2
64,0500000US13157,64.5
65,0500000US13159,63
66,0500000US13165,55
67,0500000US13167,52.7
68,0500000US13171,59.6
69,0500000US13173,52.1
70,0500000US13177,71.5
71,0500000US13179,59.4
72,0500000US13181,54.5
73,0500000US13187,62.5
74,0500000US13191,39.7
75,0500000US13193,53.6
76,0500000US13195,64.8
77,0500000US13199,53.4
78,0500000US13201,59.1
79,0500000US13207,61.4
80,0500000US13209,47.8
81,0500000US13211,58.7
82,0500000US13213,58.1
83,0500000US13215,64.3
84,0500000US13217,64.6
85,0500000US13219,73.4
86,0500000US13221,62.3
87,0500000US13223,69.1
88,0500000US13225,58.3
89,0500000US13227,58.3
90,0500000US13229,65.7
91,0500000US13231,58.8
92,0500000US13233,62
93,0500000US13235,39.1
94,0500000US13237,49.9
95,0500000US13247,63.6
96,0500000US13241,32.1
97,0500000US13243,39.6
98,0500000US13245,63.5
99,0500000US13249,41.8
100,0500000US13251,55
101,0500000US13253,47.5
102,0500000US13255,64.8
103,0500000US13257,59.9
104,0500000US13259,49
105,0500000US13261,58.3
106,0500000US13263,48.6
107,0500000US13265,50.9
108,0500000US13267,48.2
109,0500000US13269,52.3
110,0500000US13271,35.7
111,0500000US13273,60.4
112,0500000US13275,60.5
113,0500000US13277,62.3
114,0500000US13279,59.2
115,0500000US13281,43.2
116,0500000US13283,56.5
117,0500000US13285,63.3
118,0500000US13287,57.7
119,0500000US13289,50.7
120,0500000US13291,50.8
121,0500000US13293,65
122,0500000US13295,66.6
123,0500000US13297,66.1
124,0500000US13299,61.4
125,0500000US13301,53.8
126,0500000US13303,60.1
127,0500000US13305,61.3
128,0500000US13307,45.8
129,0500000US13309,36.7
130,0500000US13311,51
131,0500000US13313,62.7
132,0500000US13315,36.9
133,0500000US13317,58.5
134,0500000US13319,50.3
135,0500000US13239,28.5
136,0500000US13321,67.8
137,0500000US13077,69.7
138,0500000US13083,61.1
139,0500000US13089,63.6
140,0500000US13097,62.6
141,0500000US13103,60
142,0500000US13111,44.2
143,0500000US13119,58.5
144,0500000US13125,66.1
145,0500000US13133,55.6
146,0500000US13141,38.7
147,0500000US13147,61.6
148,0500000US13155,60.5
149,0500000US13161,52.5
150,0500000US13169,57
151,0500000US13175,61.4
152,0500000US13183,39.6
153,0500000US13189,64.2
154,0500000US13197,50.4
155,0500000US13205,63.6
156,0500000US13051,61.4
157,0500000US13163,50.4
158,0500000US13063,56.9
159,0500000US13185,65.8
1,0500000US11001,66
1,0500000US12001,62.2
2,0500000US12003,58.6
3,0500000US12005,62.8
4,0500000US12007,57.5
5,0500000US12009,67.7
6,0500000US12011,63.7
7,0500000US12013,53.7
8,0500000US12015,60.3
9,0500000US12017,65.6
10,0500000US12019,69.9
11,0500000US12021,54.1
12,0500000US12023,57.2
13,0500000US12027,53.3
14,0500000US12029,42.7
15,0500000US12031,63.4
16,0500000US12033,64.9
17,0500000US12035,64.3
18,0500000US12037,32.5
19,0500000US12039,56.6
20,0500000US12041,56.4
21,0500000US12043,41.4
22,0500000US12045,45
23,0500000US12047,45
24,0500000US12049,50.9
25,0500000US12051,46.5
26,0500000US12053,69.9
27,0500000US12055,59.2
28,0500000US12057,65.3
29,0500000US12071,55.3
30,0500000US12065,54.5
31,0500000US12067,46.2
32,0500000US12069,65.2
33,0500000US12073,64.7
34,0500000US12075,55.8
35,0500000US12077,45.5
36,0500000US12079,51.6
37,0500000US12081,62.8
38,0500000US12083,63.8
39,0500000US12085,65.2
40,0500000US12086,65.5
41,0500000US12087,54.7
42,0500000US12089,57.6
43,0500000US12091,65.3
44,0500000US12093,52.7
45,0500000US12095,62
46,0500000US12097,52.7
47,0500000US12099,63
48,0500000US12101,65.5
49,0500000US12103,64.8
50,0500000US12105,60.3
51,0500000US12107,52.1
52,0500000US12109,66.8
53,0500000US12111,61.7
54,0500000US12113,69.8
55,0500000US12115,62.3
56,0500000US12117,69
57,0500000US12119,64.3
58,0500000US12121,57.2
59,0500000US12123,47.1
60,0500000US12125,56.3
61,0500000US12127,62.8
62,0500000US12129,61.2
63,0500000US12131,57.5
64,0500000US12133,57.9
65,0500000US12059,57.4
66,0500000US12061,63.9
67,0500000US12063,55.5
1,0500000US20001,66.2
2,0500000US20003,70.2
3,0500000US20005,67.6
4,0500000US20007,61.7
5,0500000US20009,71.1
6,0500000US20011,61.5
7,0500000US20013,68.6
8,0500000US20015,72.7
9,0500000US20017,56.1
10,0500000US20019,57
11,0500000US20021,63.8
12,0500000US20023,65.7
13,0500000US20025,63.1
14,0500000US20027,70.4
15,0500000US20029,65.7
16,0500000US20031,67.8
17,0500000US20033,61.2
18,0500000US20035,66.6
19,0500000US20037,65.6
20,0500000US20039,58.6
21,0500000US20041,71.7
22,0500000US20043,64.5
23,0500000US20045,72.8
24,0500000US20047,64.2
25,0500000US20049,56.9
26,0500000US20051,72.2
27,0500000US20053,63.4
28,0500000US20055,65.5
29,0500000US20057,63.1
30,0500000US20061,61.2
31,0500000US20063,70.7
32,0500000US20067,64.7
33,0500000US20069,68.9
34,0500000US20071,60.4
35,0500000US20075,51.4
36,0500000US20077,65
37,0500000US20091,76.1
38,0500000US20083,55.8
39,0500000US20085,71.1
40,0500000US20089,58.1
41,0500000US20093,59
42,0500000US20097,60.3
43,0500000US20099,64.3
44,0500000US20101,63.9
45,0500000US20105,63.3
46,0500000US20107,56.2
47,0500000US20109,69.3
48,0500000US20113,75.8
49,0500000US20115,67.8
50,0500000US20119,63.2
51,0500000US20121,72.9
52,0500000US20123,66.2
53,0500000US20127,62.7
54,0500000US20129,53.4
55,0500000US20131,74.3
56,0500000US20135,60.4
57,0500000US20137,63.9
58,0500000US20139,69.5
59,0500000US20143,72.8
60,0500000US20145,67.7
61,0500000US20149,72.9
62,0500000US20151,70.6
63,0500000US20153,59.7
64,0500000US20157,62.8
65,0500000US20159,68.9
66,0500000US20163,63.9
67,0500000US20165,63.9
68,0500000US20167,63.5
69,0500000US20171,71.2
70,0500000US20173,69.5
71,0500000US20179,70.2
72,0500000US20181,62.7
73,0500000US20187,61.7
74,0500000US20189,62
75,0500000US20081,63.2
76,0500000US20193,70.4
77,0500000US20195,67.5
78,0500000US20199,60.4
79,0500000US20201,67.6
80,0500000US20203,61.3
81,0500000US20207,59.1
82,0500000US20209,63.7
83,0500000US20073,61.3
84,0500000US20079,74.2
85,0500000US20087,71.1
86,0500000US20095,69.8
87,0500000US20103,71.6
88,0500000US20111,68
89,0500000US20117,72.2
90,0500000US20125,63.4
91,0500000US20133,69.2
92,0500000US20141,63.3
93,0500000US20147,65.3
94,0500000US20155,72
95,0500000US20161,69.3
96,0500000US20169,78
97,0500000US20177,72.4
98,0500000US20183,65.1
99,0500000US20191,68.9
100,0500000US20197,67.9
101,0500000US20205,58.8
102,0500000US20065,66.6
103,0500000US20175,55.5
104,0500000US20059,70.8
105,0500000US20185,64.5
1,0500000US17001,75.3
2,0500000US17003,53.8
3,0500000US17005,69.4
4,0500000US17007,74.9
5,0500000US17009,65.3
6,0500000US17011,73.4
7,0500000US17015,65.5
8,0500000US17017,70.3
9,0500000US17021,72
10,0500000US17023,69.8
11,0500000US17025,71.2
12,0500000US17027,76.6
13,0500000US17029,70.6
14,0500000US17031,66.1
15,0500000US17033,72.4
16,0500000US17035,59.8
17,0500000US17037,71.7
18,0500000US17039,70.4
19,0500000US17041,73.8
20,0500000US17043,77.3
21,0500000US17045,69.4
22,0500000US17047,75.2
23,0500000US17049,77.4
24,0500000US17051,70.2
25,0500000US17053,75.2
26,0500000US17055,65.3
27,0500000US17057,71.7
28,0500000US17059,56.5
29,0500000US17061,68
30,0500000US17063,74.7
31,0500000US17065,65.4
32,0500000US17067,66.1
33,0500000US17071,61.6
34,0500000US17073,74.9
35,0500000US17077,62.2
36,0500000US17079,77.5
37,0500000US17083,72.9
38,0500000US17085,60
39,0500000US17087,60.6
40,0500000US17091,71.4
41,0500000US17093,76.8
42,0500000US17097,75.5
43,0500000US17099,72.9
44,0500000US17103,75.4
45,0500000US17105,75.5
46,0500000US17107,73.1
47,0500000US17111,77.8
48,0500000US17115,70.7
49,0500000US17119,73.9
50,0500000US17121,70.6
51,0500000US17125,71.2
52,0500000US17127,68.6
53,0500000US17129,73
54,0500000US17133,81.2
55,0500000US17135,68.8
56,0500000US17153,56.8
57,0500000US17145,72.3
58,0500000US17147,78.7
59,0500000US17149,64.8
60,0500000US17155,67.2
61,0500000US17159,72.5
62,0500000US17161,72.2
63,0500000US17165,65.4
64,0500000US17167,72.9
65,0500000US17169,68.5
66,0500000US17173,72
67,0500000US17175,73.5
68,0500000US17179,77.7
69,0500000US17181,68.8
70,0500000US17183,70.2
71,0500000US17187,70.8
72,0500000US17189,74.8
73,0500000US17193,70.4
74,0500000US17195,74.7
75,0500000US17197,76.9
76,0500000US17201,72.5
77,0500000US17203,79.7
78,0500000US17069,56.7
79,0500000US17075,72
80,0500000US17081,68.5
81,0500000US17089,75.2
82,0500000US17095,72.1
83,0500000US17101,70.9
84,0500000US17109,67.3
85,0500000US17117,71.4
86,0500000US17123,70.3
87,0500000US17131,74.2
88,0500000US17137,73
89,0500000US17143,71.4
90,0500000US17151,52.7
91,0500000US17157,73.5
92,0500000US17163,70
93,0500000US17171,72.8
94,0500000US17177,72.8
95,0500000US17185,71.3
96,0500000US17141,73.9
97,0500000US17191,71.9
98,0500000US17199,69.2
99,0500000US17013,57.1
100,0500000US17113,72.6
101,0500000US17019,70.4
102,0500000US17139,76.1
1,0500000US22001,64.7
2,0500000US22003,53.9
3,0500000US22005,66.9
4,0500000US22007,56.7
5,0500000US22009,54
6,0500000US22011,64
7,0500000US22013,54.2
8,0500000US22015,68
9,0500000US22017,67.1
10,0500000US22019,63.8
11,0500000US22021,48.3
12,0500000US22023,44.7
13,0500000US22053,62.5
14,0500000US22055,66
15,0500000US22057,66.1
16,0500000US22059,56.8
17,0500000US22061,59.7
18,0500000US22063,62.3
19,0500000US22065,51.2
20,0500000US22067,62.1
21,0500000US22069,52.9
22,0500000US22071,43.8
23,0500000US22073,66.8
24,0500000US22075,56
25,0500000US22077,53.3
26,0500000US22079,63.9
27,0500000US22081,45.3
28,0500000US22083,61.5
29,0500000US22085,47.8
30,0500000US22087,45.4
31,0500000US22089,66.3
32,0500000US22091,44.5
33,0500000US22093,54.4
34,0500000US22095,62.8
35,0500000US22097,57.3
36,0500000US22099,62.8
37,0500000US22101,56.1
38,0500000US22103,67.9
39,0500000US22105,55.8
40,0500000US22107,43.2
41,0500000US22109,64.5
42,0500000US22111,58
43,0500000US22113,65.1
44,0500000US22115,55.9
45,0500000US22117,61.7
46,0500000US22119,62.6
47,0500000US22121,64.3
48,0500000US22123,60.1
49,0500000US22125,50.2
50,0500000US22025,53.1
51,0500000US22027,60.2
52,0500000US22029,51.9
53,0500000US22031,56.5
54,0500000US22033,65.2
55,0500000US22035,55.6
56,0500000US22037,57.9
57,0500000US22039,61.5
58,0500000US22041,61.3
59,0500000US22043,57.3
60,0500000US22045,63.8
61,0500000US22047,60
62,0500000US22049,56
63,0500000US22051,66.5
64,0500000US22127,47.9
1,0500000US24041,62.1
2,0500000US24035,68.2
3,0500000US24037,63.5
4,0500000US24039,54.4
5,0500000US24043,69.6
6,0500000US24045,66.7
7,0500000US24047,33.2
8,0500000US24510,59.5
9,0500000US24001,66.3
10,0500000US24003,73
11,0500000US24005,73.4
12,0500000US24009,68.8
13,0500000US24011,63.9
14,0500000US24013,78.1
15,0500000US24015,66.5
16,0500000US24017,71.5
17,0500000US24019,60.1
18,0500000US24021,75
19,0500000US24023,49.1
20,0500000US24025,75.9
21,0500000US24027,76.7
22,0500000US24029,57.7
23,0500000US24031,76.1
24,0500000US24033,68.6
1,0500000US25003,63.7
2,0500000US25005,68
3,0500000US25007,
4,0500000US25009,69.8
5,0500000US25011,69.8
6,0500000US25013,72.2
7,0500000US25015,73.9
8,0500000US25017,73.3
9,0500000US25019,
10,0500000US25021,74.2
11,0500000US25023,67.5
12,0500000US25025,62.9
13,0500000US25027,68.9
14,0500000US25001,45.5
1,0500000US29001,70.8
2,0500000US29005,63.2
3,0500000US29009,58.4
4,0500000US29011,70.4
5,0500000US29013,65.9
6,0500000US29015,48.5
7,0500000US29017,58.6
8,0500000US29025,62.6
9,0500000US29019,70
10,0500000US29021,69.8
11,0500000US29023,60.7
12,0500000US29027,66.1
13,0500000US29035,53.7
14,0500000US29029,38.3
15,0500000US29031,69.8
16,0500000US29033,67.6
17,0500000US29037,73.1
18,0500000US29039,61
19,0500000US29041,65.1
20,0500000US29043,70.7
21,0500000US29045,67.9
22,0500000US29047,73.6
23,0500000US29049,70.4
24,0500000US29051,73.4
25,0500000US29053,69.8
26,0500000US29055,60.1
27,0500000US29057,61
28,0500000US29059,64.6
29,0500000US29061,60.6
30,0500000US29063,66.2
31,0500000US29065,60
32,0500000US29069,62.5
33,0500000US29071,71.3
34,0500000US29073,61.2
35,0500000US29077,71.1
36,0500000US29079,67.5
