state,county,cases
Alabama,Baldwin,2
Alabama,Calhoun,1
Alabama,Chambers,1
Alabama,Cullman,1
Alabama,Elmore,6
Alabama,Jackson,1
Alabama,Jefferson,50
Alabama,Lamar,1
Alabama,Lauderdale,1
Alabama,Lee,11
Alabama,Limestone,1
Alabama,Madison,7
Alabama,Mobile,2
Alabama,Montgomery,3
Alabama,Shelby,10
Alabama,St. Clair,1
Alabama,Talladega,1
Alabama,Tuscaloosa,4
Alabama,Walker,1
Alabama,Washington,1
Alaska,Anchorage,4
Alaska,Fairbanks North Star Borough,6
Alaska,Kenai Peninsula Borough,1
Alaska,Ketchikan Gateway Borough,3
Arizona,Coconino,11
Arizona,Graham,1
Arizona,Maricopa,34
Arizona,Navajo,3
Arizona,Pima,8
Arizona,Pinal,10
Arizona,Santa Cruz,1
Arizona,Yavapai,1
Arizona,Yuma,1
Arkansas,Benton,1
Arkansas,Boone,1
Arkansas,Bradley,1
Arkansas,Clark,1
Arkansas,Cleburne,11
Arkansas,Cleveland,1
Arkansas,Craighead,1
Arkansas,Crittenden,1
Arkansas,Desha,1
Arkansas,Faulkner,1
Arkansas,Garland,5
Arkansas,Grant,1
Arkansas,Greene,1
Arkansas,Independence,1
Arkansas,Jefferson,11
Arkansas,Lincoln,1
Arkansas,Poinsett,1
Arkansas,Polk,1
Arkansas,Pulaski,18
Arkansas,Saline,1
Arkansas,Searcy,1
Arkansas,Sevier,1
Arkansas,Unknown,35
Arkansas,Van Buren,1
Arkansas,Washington,1
California,Alameda,67
California,Contra Costa,46
California,Fresno,10
California,Humboldt,2
California,Imperial,4
California,Kern,2
California,Los Angeles,292
California,Madera,3
California,Marin,38
California,Mendocino,1
California,Napa,1
California,Nevada,1
California,Orange,65
California,Placer,9
California,Riverside,28
California,Sacramento,52
California,San Benito,2
California,San Bernardino,9
California,San Diego,131
California,San Francisco,79
California,San Joaquin,25
California,San Luis Obispo,16
California,San Mateo,100
California,Santa Barbara,9
California,Santa Clara,196
California,Santa Cruz,2
California,Shasta,1
California,Solano,18
California,Sonoma,11
California,Stanislaus,5
California,Tulare,11
California,Ventura,19
California,Yolo,6
Colorado,Adams,12
Colorado,Arapahoe,29
Colorado,Boulder,16
Colorado,Broomfield,2
Colorado,Clear Creek,2
Colorado,Crowley,1
Colorado,Denver,67
Colorado,Douglas,17
Colorado,Eagle,61
Colorado,El Paso,27
Colorado,Garfield,4
Colorado,Grand,3
Colorado,Gunnison,13
Colorado,Jefferson,37
Colorado,Larimer,7
Colorado,Mesa,1
Colorado,Morgan,2
Colorado,Park,1
Colorado,Pitkin,14
Colorado,Pueblo,3
Colorado,Routt,2
Colorado,Summit,7
Colorado,Unknown,20
Colorado,Weld,15
Colorado,Yuma,1
Connecticut,Fairfield,122
Connecticut,Hartford,29
Connecticut,Litchfield,8
Connecticut,Middlesex,5
Connecticut,New Haven,23
Connecticut,New London,1
Connecticut,Tolland,4
Connecticut,Windham,2
Delaware,Kent,4
Delaware,New Castle,23
Delaware,Sussex,4
Delaware,Unknown,8
District of Columbia,,77
Florida,Alachua,15
Florida,Baker,1
Florida,Brevard,4
Florida,Broward,128
Florida,Charlotte,2
Florida,Citrus,3
Florida,Clay,4
Florida,Collier,25
Florida,Duval,17
Florida,Escambia,1
Florida,Gadsden,1
Florida,Hernando,4
Florida,Hillsborough,32
Florida,Indian River,3
Florida,Jackson,1
Florida,Lake,3
Florida,Lee,14
Florida,Leon,4
Florida,Manatee,10
Florida,Martin,1
Florida,Miami-Dade,123
Florida,Monroe,1
Florida,Nassau,1
Florida,Okaloosa,7
Florida,Orange,23
Florida,Osceola,13
Florida,Palm Beach,42
Florida,Pasco,6
Florida,Pinellas,22
Florida,Polk,9
Florida,Santa Rosa,3
Florida,Sarasota,8
Florida,Seminole,13
Florida,St. Johns,7
Florida,Sumter,2
Florida,Volusia,10
Florida,Walton,3
Georgia,Barrow,1
Georgia,Bartow,54
Georgia,Bibb,1
Georgia,Carroll,7
Georgia,Charlton,1
Georgia,Chatham,2
Georgia,Cherokee,16
Georgia,Clarke,10
Georgia,Clayton,10
Georgia,Cobb,47
Georgia,Columbia,1
Georgia,Coweta,6
Georgia,Dawson,1
Georgia,DeKalb,36
Georgia,Dougherty,44
Georgia,Douglas,1
Georgia,Early,2
Georgia,Effingham,1
Georgia,Fayette,9
Georgia,Floyd,7
Georgia,Forsyth,3
Georgia,Fulton,88
Georgia,Glynn,2
Georgia,Gordon,3
Georgia,Gwinnett,23
Georgia,Hall,6
Georgia,Heard,1
Georgia,Henry,6
Georgia,Houston,2
Georgia,Lamar,1
Georgia,Laurens,2
Georgia,Lee,13
Georgia,Lowndes,7
Georgia,Miller,1
Georgia,Monroe,1
Georgia,Muscogee,1
Georgia,Newton,4
Georgia,Oconee,1
Georgia,Paulding,3
Georgia,Peach,1
Georgia,Pickens,2
Georgia,Polk,3
Georgia,Randolph,1
Georgia,Richmond,8
Georgia,Rockdale,1
Georgia,Spalding,2
Georgia,Sumter,2
Georgia,Terrell,2
Georgia,Tift,1
Georgia,Troup,2
Georgia,Turner,1
Georgia,Unknown,31
Georgia,Whitfield,1
Georgia,Worth,2
Guam,,14
Hawaii,Hawaii,1
Hawaii,Honolulu,28
Hawaii,Kauai,3
Hawaii,Maui,5
Idaho,Ada,4
Idaho,Blaine,19
Idaho,Canyon,1
Idaho,Fremont,1
Idaho,Kootenai,3
Idaho,Madison,1
Idaho,Teton,1
Idaho,Twin Falls,1
Illinois,Adams,1
Illinois,Champaign,1
Illinois,Christian,1
Illinois,Clinton,3
Illinois,Cook,411
Illinois,Cumberland,1
Illinois,DuPage,57
Illinois,Jackson,1
Illinois,Kane,8
Illinois,Kankakee,1
Illinois,Kendall,2
Illinois,Lake,52
Illinois,LaSalle,1
Illinois,Madison,1
Illinois,McHenry,8
Illinois,McLean,4
Illinois,Peoria,3
Illinois,Sangamon,4
Illinois,St. Clair,3
Illinois,Unknown,1
Illinois,Washington,1
Illinois,Whiteside,1
Illinois,Will,13
Illinois,Williamson,1
Illinois,Winnebago,2
Illinois,Woodford,2
Indiana,Adams,1
Indiana,Allen,1
Indiana,Bartholomew,1
Indiana,Boone,2
Indiana,Clark,1
Indiana,Fayette,1
Indiana,Floyd,2
Indiana,Franklin,2
Indiana,Grant,1
Indiana,Hamilton,5
Indiana,Hendricks,4
Indiana,Howard,5
Indiana,Jennings,1
Indiana,Johnson,4
Indiana,Lake,6
Indiana,LaPorte,1
Indiana,Madison,1
Indiana,Marion,25
Indiana,Noble,1
Indiana,Owen,1
Indiana,Shelby,1
Indiana,St. Joseph,6
Indiana,Tippecanoe,2
Indiana,Vanderburgh,1
Indiana,Vigo,1
Indiana,Wayne,1
Indiana,Wells,1
Iowa,Adair,1
Iowa,Allamakee,3
Iowa,Black Hawk,1
Iowa,Carroll,1
Iowa,Dallas,5
Iowa,Dubuque,1
Iowa,Harrison,1
Iowa,Johnson,22
Iowa,Muscatine,1
Iowa,Polk,6
Iowa,Pottawattamie,1
Iowa,Washington,1
Iowa,Winneshiek,1
Kansas,Butler,2
Kansas,Cherokee,1
Kansas,Douglas,1
Kansas,Ford,1
Kansas,Franklin,1
Kansas,Johnson,24
Kansas,Leavenworth,4
Kansas,Linn,1
Kansas,Morris,2
Kansas,Riley,1
Kansas,Sedgwick,1
Kansas,Wyandotte,9
Kentucky,Bourbon,2
Kentucky,Calloway,1
Kentucky,Christian,1
Kentucky,Clark,2
Kentucky,Daviess,1
Kentucky,Fayette,10
Kentucky,Franklin,1
Kentucky,Harrison,7
Kentucky,Henderson,2
Kentucky,Jefferson,23
Kentucky,Kenton,1
Kentucky,Lyon,1
Kentucky,Montgomery,2
Kentucky,Nelson,1
Kentucky,Pulaski,2
Kentucky,Unknown,4
Kentucky,Warren,2
Louisiana,Ascension,3
Louisiana,Assumption,1
Louisiana,Bossier,5
Louisiana,Caddo,12
Louisiana,Calcasieu,3
Louisiana,Catahoula,1
Louisiana,De Soto,2
Louisiana,East Baton Rouge,7
Louisiana,Iberia,2
Louisiana,Iberville,1
Louisiana,Jefferson,104
Louisiana,Lafayette,6
Louisiana,Lafourche,5
Louisiana,Livingston,1
Louisiana,Orleans,326
Louisiana,Plaquemines,1
Louisiana,Rapides,3
Louisiana,St. Bernard,5
Louisiana,St. Charles,7
Louisiana,St. James,1
Louisiana,St. John the Baptist,6
Louisiana,St. Landry,2
Louisiana,St. Tammany,12
Louisiana,Tangipahoa,1
Louisiana,Terrebonne,7
Louisiana,Unknown,7
Louisiana,Washington,2
Louisiana,Webster,1
Louisiana,West Baton Rouge,3
Maine,Androscoggin,3
Maine,Cumberland,35
Maine,Kennebec,4
Maine,Lincoln,4
Maine,Oxford,1
Maine,Penobscot,2
Maine,Unknown,3
Maine,York,5
Maryland,Anne Arundel,10
Maryland,Baltimore,13
Maryland,Baltimore city,11
Maryland,Calvert,1
Maryland,Carroll,4
Maryland,Charles,2
Maryland,Frederick,1
Maryland,Harford,5
Maryland,Howard,18
Maryland,Montgomery,51
Maryland,Prince George's,31
Maryland,Talbot,1
Maryland,Wicomico,1
Maryland,Worcester,1
Massachusetts,Barnstable,9
Massachusetts,Berkshire,20
Massachusetts,Bristol,6
Massachusetts,Essex,29
Massachusetts,Franklin,1
Massachusetts,Hampden,3
Massachusetts,Hampshire,2
Massachusetts,Middlesex,144
Massachusetts,Norfolk,64
Massachusetts,Plymouth,11
Massachusetts,Suffolk,87
Massachusetts,Unknown,18
Massachusetts,Worcester,19
Michigan,Bay,1
Michigan,Charlevoix,1
Michigan,Clinton,1
Michigan,Eaton,2
Michigan,Genesee,1
Michigan,Ingham,7
Michigan,Jackson,1
Michigan,Kent,12
Michigan,Leelanau,1
Michigan,Livingston,3
Michigan,Macomb,86
Michigan,Midland,3
Michigan,Monroe,3
Michigan,Montcalm,1
Michigan,Oakland,184
Michigan,Otsego,1
Michigan,Ottawa,1
Michigan,St. Clair,7
Michigan,Washtenaw,16
Michigan,Wayne,216
Minnesota,Anoka,5
Minnesota,Benton,1
Minnesota,Blue Earth,2
Minnesota,Carver,3
Minnesota,Chisago,1
Minnesota,Clay,1
Minnesota,Dakota,7
Minnesota,Fillmore,2
Minnesota,Hennepin,44
Minnesota,Martin,4
Minnesota,Mower,1
Minnesota,Nicollet,2
Minnesota,Olmsted,11
Minnesota,Ramsey,16
Minnesota,Renville,1
Minnesota,Rice,1
Minnesota,Scott,2
Minnesota,Stearns,4
Minnesota,Wadena,1
Minnesota,Waseca,1
Minnesota,Washington,3
Minnesota,Wright,2
Mississippi,Adams,1
Mississippi,Bolivar,2
Mississippi,Coahoma,3
Mississippi,Copiah,2
Mississippi,DeSoto,4
Mississippi,Forrest,4
Mississippi,Franklin,1
Mississippi,Hancock,3
Mississippi,Harrison,8
Mississippi,Hinds,7
Mississippi,Holmes,3
Mississippi,Humphreys,1
Mississippi,Jackson,3
Mississippi,Jones,1
Mississippi,Lafayette,1
Mississippi,Lawrence,1
Mississippi,Lee,1
Mississippi,Leflore,7
Mississippi,Madison,3
Mississippi,Marshall,1
Mississippi,Monroe,2
Mississippi,Pearl River,7
Mississippi,Perry,1
Mississippi,Pike,1
Mississippi,Rankin,3
Mississippi,Smith,2
Mississippi,Tippah,3
Mississippi,Walthall,1
Mississippi,Wilkinson,1
Mississippi,Winston,1
Mississippi,Yazoo,1
Missouri,Boone,8
Missouri,Cass,6
Missouri,Christian,2
Missouri,Cole,3
Missouri,Dunklin,1
Missouri,Greene,8
Missouri,Henry,1
Missouri,Jackson,5
Missouri,Pulaski,1
Missouri,Scott,1
Missouri,St. Charles,2
Missouri,St. Louis,13
Missouri,St. Louis city,6
Missouri,Unknown,16
Montana,Broadwater,1
Montana,Flathead,1
Montana,Gallatin,2
Montana,Lake,1
Montana,Lewis and Clark,3
Montana,Madison,1
Montana,Missoula,4
Montana,Roosevelt,1
Montana,Silver Bow,1
Montana,Yellowstone,5
Nebraska,Adams,1
Nebraska,Buffalo,1
Nebraska,Cass,1
Nebraska,Douglas,40
Nebraska,Knox,2
Nebraska,Lancaster,1
Nebraska,Lincoln,3
Nebraska,Nemaha,1
Nebraska,Sarpy,3
Nevada,Carson City,3
Nevada,Clark,126
Nevada,Unknown,14
Nevada,Washoe,22
New Hampshire,Belknap,3
New Hampshire,Carroll,5
New Hampshire,Cheshire,1
New Hampshire,Coos,1
New Hampshire,Grafton,12
New Hampshire,Hillsborough,11
New Hampshire,Merrimack,2
New Hampshire,Rockingham,20
New Jersey,Atlantic,3
New Jersey,Bergen,249
New Jersey,Burlington,17
New Jersey,Camden,15
New Jersey,Cape May,1
New Jersey,Cumberland,1
New Jersey,Essex,73
New Jersey,Gloucester,3
New Jersey,Hudson,66
New Jersey,Hunterdon,11
New Jersey,Mercer,22
New Jersey,Middlesex,76
New Jersey,Monmouth,53
New Jersey,Morris,35
New Jersey,Ocean,49
New Jersey,Passaic,49
New Jersey,Somerset,28
New Jersey,Sussex,3
New Jersey,Union,43
New Jersey,Unknown,93
New Jersey,Warren,4
New Mexico,Bernalillo,23
New Mexico,Do–a Ana,1
New Mexico,McKinley,1
New Mexico,San Miguel,1
New Mexico,Sandoval,6
New Mexico,Santa Fe,7
New Mexico,Socorro,2
New Mexico,Taos,2
New York,Albany,61
New York,Allegany,2
New York,Broome,2
New York,Chenango,2
New York,Clinton,2
New York,Columbia,1
New York,Delaware,1
New York,Dutchess,36
New York,Erie,31
New York,Essex,1
New York,Fulton,1
New York,Genesee,1
New York,Greene,2
New York,Hamilton,2
New York,Herkimer,2
New York,Jefferson,1
New York,Livingston,1
New York,Monroe,32
New York,Montgomery,2
New York,Nassau,754
New York,New York,"4,408"
New York,Niagara,3
New York,Oneida,2
New York,Onondaga,8
New York,Ontario,3
New York,Orange,84
New York,Putnam,7
New York,Rensselaer,8
New York,Rockland,101
New York,Saratoga,24
New York,Schenectady,21
New York,Schoharie,1
New York,Suffolk,371
New York,Sullivan,8
New York,Tioga,1
New York,Tompkins,7
New York,Ulster,12
New York,Warren,1
New York,Washington,1
New York,Wayne,1
New York,Westchester,1091
New York,Wyoming,2
North Carolina,Brunswick,4
North Carolina,Cabarrus,2
North Carolina,Carteret,1
North Carolina,Chatham,3
North Carolina,Craven,2
North Carolina,Davidson,1
North Carolina,Durham,33
North Carolina,Forsyth,7
North Carolina,Franklin,4
North Carolina,Gaston,1
North Carolina,Guilford,4
North Carolina,Harnett,6
North Carolina,Hoke,1
North Carolina,Iredell,2
North Carolina,Johnston,2
North Carolina,Lincoln,1
North Carolina,Mecklenburg,28
North Carolina,Moore,2
North Carolina,New Hanover,1
North Carolina,Onslow,1
North Carolina,Orange,3
North Carolina,Pasquotank,1
North Carolina,Pitt,1
North Carolina,Rowan,1
North Carolina,Sampson,1
North Carolina,Stanly,1
North Carolina,Wake,25
North Carolina,Watauga,2
North Carolina,Wayne,1
North Carolina,Wilson,2
North Dakota,Burleigh,13
North Dakota,Cass,1
North Dakota,Morton,8
North Dakota,Pierce,1
North Dakota,Ramsey,1
North Dakota,Ward,3
Ohio,Ashland,1
Ohio,Ashtabula,1
Ohio,Belmont,2
Ohio,Butler,12
Ohio,Clark,1
Ohio,Columbiana,1
Ohio,Coshocton,2
Ohio,Cuyahoga,69
Ohio,Darke,1
Ohio,Delaware,2
Ohio,Franklin,14
Ohio,Geauga,1
Ohio,Hamilton,7
Ohio,Huron,1
Ohio,Lake,3
Ohio,Lorain,10
Ohio,Lucas,2
Ohio,Mahoning,7
Ohio,Marion,1
Ohio,Medina,5
Ohio,Miami,1
Ohio,Montgomery,1
Ohio,Richland,1
Ohio,Stark,6
Ohio,Summit,10
Ohio,Trumbull,3
Ohio,Tuscarawas,1
Ohio,Union,1
Ohio,Warren,2
Oklahoma,Canadian,2
Oklahoma,Cleveland,11
Oklahoma,Custer,1
Oklahoma,Garvin,1
Oklahoma,Grady,1
Oklahoma,Jackson,1
Oklahoma,Kay,3
Oklahoma,Logan,1
Oklahoma,McClain,1
Oklahoma,Oklahoma,19
Oklahoma,Pawnee,1
Oklahoma,Payne,1
Oklahoma,Tulsa,5
Oklahoma,Washington,1
Oregon,Benton,2
Oregon,Clackamas,10
Oregon,Deschutes,8
Oregon,Douglas,1
Oregon,Grant,1
Oregon,Jackson,2
Oregon,Klamath,1
Oregon,Lane,2
Oregon,Linn,19
Oregon,Marion,17
Oregon,Multnomah,12
Oregon,Polk,1
Oregon,Umatilla,2
Oregon,Union,1
Oregon,Washington,31
Oregon,Yamhill,4
Pennsylvania,Adams,4
Pennsylvania,Allegheny,28
Pennsylvania,Beaver,3
Pennsylvania,Berks,5
Pennsylvania,Bucks,16
Pennsylvania,Centre,1
Pennsylvania,Chester,17
Pennsylvania,Cumberland,11
Pennsylvania,Delaware,23
Pennsylvania,Erie,1
Pennsylvania,Franklin,1
Pennsylvania,Lackawanna,4
Pennsylvania,Lancaster,2
Pennsylvania,Lebanon,1
Pennsylvania,Lehigh,2
Pennsylvania,Luzerne,2
Pennsylvania,Monroe,19
Pennsylvania,Montgomery,59
Pennsylvania,Northampton,10
Pennsylvania,Philadelphia,42
Pennsylvania,Pike,3
Pennsylvania,Potter,1
Pennsylvania,Washington,3
Pennsylvania,Wayne,1
Pennsylvania,Westmoreland,4
Pennsylvania,York,6
Puerto Rico,,14
Rhode Island,Unknown,44
South Carolina,Abbeville,1
South Carolina,Aiken,1
South Carolina,Anderson,6
South Carolina,Beaufort,8
South Carolina,Berkeley,1
South Carolina,Calhoun,1
South Carolina,Charleston,6
South Carolina,Clarendon,1
South Carolina,Darlington,1
South Carolina,Dorchester,1
South Carolina,Fairfield,1
South Carolina,Florence,1
South Carolina,Greenville,12
South Carolina,Horry,8
South Carolina,Kershaw,36
South Carolina,Lancaster,3
South Carolina,Lee,1
South Carolina,Lexington,8
South Carolina,Orangeburg,2
South Carolina,Pickens,1
South Carolina,Richland,22
South Carolina,Saluda,1
South Carolina,Spartanburg,1
South Carolina,Sumter,1
South Carolina,York,1
South Dakota,Beadle,4
South Dakota,Bon Homme,1
South Dakota,Charles Mix,1
South Dakota,Davison,2
South Dakota,McCook,1
South Dakota,Minnehaha,5
Tennessee,Anderson,1
Tennessee,Blount,1
Tennessee,Bradley,1
Tennessee,Campbell,1
Tennessee,Cheatham,2
Tennessee,Cumberland,2
Tennessee,Davidson,101
Tennessee,Dickson,2
Tennessee,Dyer,1
Tennessee,Greene,1
Tennessee,Hamblen,1
Tennessee,Hamilton,5
Tennessee,Jefferson,1
Tennessee,Knox,3
Tennessee,Maury,1
Tennessee,Montgomery,3
Tennessee,Robertson,2
Tennessee,Rutherford,1
Tennessee,Sevier,1
Tennessee,Shelby,30
Tennessee,Sullivan,1
Tennessee,Sumner,11
Tennessee,Tipton,1
Tennessee,Unknown,14
Tennessee,Washington,2
Tennessee,Williamson,35
Tennessee,Wilson,3
Texas,Bell,2
Texas,Bexar,40
Texas,Bowie,1
Texas,Brazoria,10
Texas,Brazos,2
Texas,Cameron,1
Texas,Collin,18
Texas,Crane,1
Texas,Dallas,74
Texas,Denton,15
Texas,DeWitt,1
Texas,El Paso,6
Texas,Ellis,2
Texas,Fannin,1
Texas,Fort Bend,24
Texas,Galveston,6
Texas,Gregg,1
Texas,Harris,55
Texas,Hays,6
Texas,Hockley,1
Texas,Johnson,2
Texas,Lavaca,1
Texas,Lubbock,3
Texas,Matagorda,3
Texas,McLennan,13
Texas,Medina,6
Texas,Montgomery,4
Texas,Rusk,1
Texas,Smith,8
Texas,Tarrant,29
Texas,Travis,21
Texas,Van Zandt,1
Texas,Webb,1
Texas,Wichita,3
Texas,Williamson,9
Utah,Box Elder,1
Utah,Cache,2
Utah,Davis,12
Utah,Salt Lake,46
Utah,Summit,35
Utah,Tooele,2
Utah,Utah,3
Utah,Wasatch,4
Utah,Washington,1
Utah,Weber,6
Vermont,Addison,1
Vermont,Bennington,4
Vermont,Chittenden,12
Vermont,Orange,3
Vermont,Rutland,1
Vermont,Washington,2
Vermont,Windsor,6
Virgin Islands,,6
Virginia,Accomack,1
Virginia,Alexandria city,3
Virginia,Arlington,17
Virginia,Charles City,1
Virginia,Charlottesville city,1
Virginia,Chesterfield,6
Virginia,Fairfax,16
Virginia,Gloucester,1
Virginia,Goochland,1
Virginia,Hanover,1
Virginia,Harrisonburg city,1
Virginia,Henrico,3
Virginia,James City,19
Virginia,Loudoun,9
Virginia,Newport News city,1
Virginia,Norfolk city,1
Virginia,Portsmouth city,1
Virginia,Prince Edward,1
Virginia,Prince William,12
Virginia,Richmond city,5
Virginia,Spotsylvania,1
Virginia,Stafford,2
Virginia,Virginia Beach city,4
Virginia,Williamsburg city,4
Virginia,York,3
Washington,Benton,2
Washington,Chelan,3
Washington,Clallam,1
Washington,Clark,6
Washington,Columbia,1
Washington,Cowlitz,2
Washington,Franklin,2
Washington,Grant,11
Washington,Grays Harbor,1
Washington,Island,19
Washington,Jefferson,4
Washington,King,793
Washington,Kitsap,12
Washington,Kittitas,4
Washington,Klickitat,2
Washington,Lewis,2
Washington,Lincoln,1
Washington,Mason,1
Washington,Pierce,83
Washington,San Juan,1
Washington,Skagit,26
Washington,Snohomish,384
Washington,Spokane,11
Washington,Stevens,1
Washington,Thurston,8
Washington,Walla Walla,1
Washington,Whatcom,10
Washington,Yakima,10
West Virginia,Jackson,1
West Virginia,Jefferson,2
West Virginia,Kanawha,1
West Virginia,Mercer,1
West Virginia,Monongalia,1
West Virginia,Tucker,2
Wisconsin,Bayfield,1
Wisconsin,Brown,2
Wisconsin,Calumet,1
Wisconsin,Chippewa,1
Wisconsin,Columbia,5
Wisconsin,Dane,32
Wisconsin,Douglas,1
Wisconsin,Dunn,1
Wisconsin,Eau Claire,1
Wisconsin,Fond du Lac,14
Wisconsin,Green,1
Wisconsin,Jefferson,1
Wisconsin,Kenosha,4
Wisconsin,La Crosse,4
Wisconsin,Marathon,1
Wisconsin,Milwaukee,95
Wisconsin,Outagamie,2
Wisconsin,Ozaukee,7
Wisconsin,Pierce,1
Wisconsin,Racine,3
Wisconsin,Rock,1
Wisconsin,Sauk,2
Wisconsin,Sheboygan,6
Wisconsin,St. Croix,2
Wisconsin,Walworth,3
Wisconsin,Washington,3
Wisconsin,Waukesha,15
Wisconsin,Winnebago,5
Wisconsin,Wood,1
Wyoming,Campbell,1
Wyoming,Fremont,9
Wyoming,Laramie,4
Wyoming,Natrona,1
Wyoming,Park,1
Wyoming,Sheridan,4
Wyoming,Teton,2